letter,ID,P1,P2
RM1,25205007,-185.8118896,-84.4935379
RM1,25205007,-49.63925171,-214.4341736
RM1,25205007,-123.0982742,-43.14221954
RM1,25205007,-167.5736237,-231.6605377
RM1,25205007,-107.4620285,-106.2413254
RM1,25205007,-69.48370361,-187.2815552
RM1,25205007,-43.07797241,-101.0613708
RM1,25205007,-79.09674072,-158.4424438
RM1,25205007,-144.3722382,-179.1622772
RM1,25205007,-118.2877426,-110.3531723
RM1,25205007,-119.0265884,-167.8547058
RM1,concatenate179,-123.1705551,-136.5982819
RM1,concatenate179,-94.98194885,-16.24659538
RM1,concatenate179,-23.217453,-50.07292175
RM1,concatenate179,-52.44204712,-78.07681274
RM1,concatenate179,-98.893013,-32.3646965
RM1,concatenate179,-39.82543945,-113.6779785
RM1,concatenate179,-72.02148438,-102.5390625
RM1,concatenate179,-120.0947037,-95.07028961
RM1,concatenate179,-40.29926682,-79.97211456
RM1,concatenate179,-47.04525757,-87.32846069
RM1,concatenate179,-85.97122955,-74.98490143
RM1,concatenate179,-76.08514404,-71.20233154
RM1,concatenate179,-16.07794571,-63.68536758
RM1,concatenate179,-32.5012207,-66.07055664
RM1,concatenate179,-16.64814186,-86.83856964
RM1,concatenate179,-70.71244049,-81.08841705
RM1,concatenate179,-73.23415375,-82.38942719
RM1,concatenate179,-83.94743347,-76.01286316
RM1,concatenate179,-120.2231979,-50.643116
RM1,concatenate179,-21.17759323,-88.31626129
RM1,concatenate179,-117.7657242,-70.15830231
RM1,concatenate179,-70.88108826,-94.07444763
RM1,concatenate179,-59.08363724,-72.51137543
RM1,concatenate179,-47.80016327,-81.97985077
RM1,concatenate179,-107.0926056,-70.47151184
RM1,concatenate179,-76.39031982,-14.13445759
RM1,concatenate179,-39.09462357,-68.39150238
RM1,concatenate179,-88.54113007,-86.09972382
RM1,concatenate179,-74.27817535,-66.34360504
RM1,concatenate179,-61.38048553,-82.74279022
RM1,concatenate179,-72.7201767,-86.75826263
RM1,concatenate179,-49.9685173,-55.46168137
RM1,concatenate179,-68.46377563,-87.38467407
RM1,concatenate179,-80.47003174,-94.50811768
