letter,ID,P1,P2,X,Y
TW1,21714030,-45.6954,-45.0851,,
TW1,21714030,-27.8769,-38.8632,,
TW1,21714030,-66.2169,-79.6447,,
TW1,21714030,-40.7067,-74.276,,
TW1,21714030,-45.1349,-48.1866,,
TW1,21714030,-44.3688,-87.0934,,
TW1,21714030,-60.6864,-54.5829,,
TW1,21714030,-81.2204,-36.6647,,
TW1,21714030,-39.1933,-46.5175,,
TW1,21714030,-34.1236,-62.1998,,
TW1,21714030,-31.4767,-32.6974,,
TW1,21714030,-38.8694,-41.9212,,
TW1,21714030,-35.6869,-61.3216,,
TW1,21714030,-38.9815,-71.9405,,
TW1,21714030,-51.9048,-48.2427,,
TW1,21714031,-97.3386,-31.4206,,
TW1,21714031,-35.6308,-31.9687,,
TW1,21714031,-44.2505,-24.1089,,
TW1,21714031,-58.2263,-72.8747,,
TW1,21714031,-33.5008,-53.6424,,
TW1,21714031,-3.31334,-38.7137,,
TW1,21714031,-69.3496,-48.5977,,
TW1,21714031,-42.1703,-39.1186,,
TW1,21714031,-28.5433,-45.6331,,
TW1,21714031,-14.2374,-67.9483,,
TW1,21714031,-10.5005,-55.6666,,
TW1,21714031,-52.4217,-29.8387,,
TW1,21714031,-34.8897,-23.9034,,
TW1,21714031,-68.7268,-57.1302,,
TW1,21714031,-15.2463,-66.5159,,
TW1,21714031,-79.4578,-23.9158,,
TW1,21714031,-38.695,-63.1091,,
TW1,21714031,-25.5351,-48.1181,,
TW1,21714031,-44.5806,-87.3052,,
TW1,21714031,-33.3825,-79.1589,,
TW1,21714031,-83.7054,-75.7708,,
TW1,21714031,-29.328,-65.9491,,
TW1,21714031,-21.9664,-66.5221,,
TW1,21714031,-40.2707,-84.8264,,
TW1,21714031,-19.0704,-45.9258,,
TW1,21714031,-24.0092,-50.8647,,
TW1,21714031,-41.5786,-46.4615,,
TW1,21714031,-16.8469,-54.0784,,
TW1,21714031,-41.5164,-51.282,,
TW1,21714031,-14.4429,-25.4292,,
TW1,21714031,-36.8017,-42.9052,,
TW1,21714031,-39.05,-84.8264,,
TW1,21714031,-39.3241,-38.1034,,
TW1,21714031,-26.077,-44.3875,,
TW1,21714031,-40.85,-56.1087,,
TW1,21714031,-43.746,-79.1464,,
TW1,21714031,-14.8602,-22.7948,,
TW1,21714031,-52.8639,-62.6295,,
TW1,21714031,-55.3116,-11.3662,,
TW1,21714031,-2.44141,-45.7764,,
TW1,21714031,-20.9637,-18.5223,,
TW1,21714031,-4.34097,-50.7277,,
TW1,21714031,-6.45852,-40.6382,,
TW1,21714031,-30.3743,-49.2952,,
TW1,21714031,-4.47176,-3.25106,,
TW1,21714031,-6.53325,-19.3506,,
TW1,21714031,-14.2872,-2.08018,,
TW1,21714031,-15.0283,-27.2354,,
TW1,21714031,-7.40518,-70.2714,,
TW1,21714031,-16.9777,-12.0949,,
TW1,21714031,-46.9784,-96.4169,,
TW1,21714031,-26.3635,-41.0119,,
TW1,21714031,-36.9699,-68.0978,,
TW1,21714031,-23.5546,-63.8378,,
TW1,21714031,-64.3672,-66.8086,,
TW1,21714031,-47.7258,-67.8674,,
TW1,21714031,-50.3976,-54.6701,,
TW1,21714031,-64.062,-87.8657,,
TW1,21714031,-16.4546,-75.6587,,
TW1,21714031,-23.0875,-25.5289,,
TW1,21714032,-3.21369,-88.0526,,
TW1,21714032,-51.0453,-21.7484,,
TW1,21714032,-34.242,-47.6697,,
TW1,21714032,-31.0906,-41.4665,,
TW1,21714032,-34.9021,-66.0301,,
TW1,21714032,-21.3934,-76.9354,,
TW1,21714032,-52.0107,-17.831,,
TW1,21714032,-45.1847,-28.7052,,
